,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('212.179.154.245', 443)",2762,60,552.5151515151515,56.33888430321287,764.3996305761647,584306.795224977,1.3926988630610315,0.6379877695067542,66.0,66.0,66.0,66.0,104.0,187.0,330.5999999999998,1414.0,1660.4000000000003,30,367,66,128.13333333333333,5.930408874022408,94.42412591893851,8915.915555555557,1.4438011669754134,0.5944121294231794,66.0,66.0,66.0,66.0,70.0,109.6,112.0,198.2000000000001,296.80000000000007,63,2762,60,350.42857142857144,20.756431059078427,596.0151195026323,355234.022675737,2.400405454697017,4.860299742769362,66.0,66.0,66.0,66.0,74.0,112.0,193.2,315.80000000000007,1414.0,7359.0,2.0,1.4142135623730951,3,21.0,1,0.8313725490196079,0.7019607843137254,0.6039215686274509,0.9607843137254902,1
1,"('104.244.43.167', 443)",4110,66,1605.9447077409163,0.0,739.7086838148991,547168.9369111705,0.3225686186136354,0.6284244666360372,1384.0,1414.0,1414.0,1414.0,1414.0,1414.0,1414.0,2750.000000000001,2762.0,476,583,66,87.77941176470588,0.0,78.3625735760963,6140.692937469106,4.627020118135616,20.85639543634032,66.0,66.0,66.0,66.0,66.0,66.0,66.0,86.0,86.0,1109,4110,66,954.3246167718665,1924.4176796202714,937.8749857273018,879609.4888529865,0.6761490776594012,-0.4618003847546204,66.0,66.0,66.0,86.0,1384.0,1414.0,1414.0,1414.0,2762.0,352782.0,3.3333333333333335,0.4714045207910317,3,369.6666666666667,1,0.40784313725490196,0.9568627450980393,0.16862745098039217,0.6549019607843137,2
2,"('192.229.233.25', 443)",4110,66,1209.9415204678362,1481.1196162870965,969.6437382029983,940208.9790362846,0.4124775861359622,-0.7168011798495701,66.0,66.0,308.0,1270.6000000000008,1414.0,1414.0,1414.0,1766.8000000000015,2762.0,314,598,54,96.828025477707,0.0,102.58404529131498,10523.486348330562,3.3464025512929925,10.09856328905206,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,97.0,656,4110,54,677.140243902439,0.0,896.882474131822,804398.1724048185,1.3276111643075221,0.7216217122751218,66.0,66.0,66.0,66.0,66.0,308.0,1414.0,1414.0,2056.5,34169.53846153846,3.3076923076923075,0.46153846153846156,13,50.46153846153846,1,0.7529411764705882,0.8980392156862745,0.9137254901960784,0.09803921568627451,2
3,"('104.244.42.8', 443)",1893,66,270.4166666666667,63.75189539574088,443.94039733830135,197083.07638888888,2.74785762729725,6.343005664830834,66.0,66.0,94.69999999999999,108.0,109.0,112.0,151.89999999999995,183.4000000000001,611.0999999999997,25,792,54,149.48,17.791226622067224,185.27215009277566,34325.76959999999,2.731464127107828,6.169199804157747,66.0,66.0,66.0,66.0,66.0,99.79999999999998,112.0,128.00000000000023,247.00000000000006,49,1893,54,208.71428571428572,56.33888430321287,343.0721944609398,117698.53061224488,3.501421809087817,12.361995352693803,66.0,66.0,66.0,74.0,104.0,111.6,112.0,178.20000000000013,388.4000000000011,1704.5,1.0,0.0,6,8.166666666666666,1,0.40784313725490196,0.9568627450980393,0.16470588235294117,0.03137254901960784,2
4,"('104.244.42.65', 443)",2762,66,491.0446735395189,298.003045919626,638.0889972809516,407157.5684510103,1.8643447647995535,2.839402454705567,66.0,66.0,66.0,143.0,267.0,280.0,343.0,909.0,1414.0,251,1414,66,266.9521912350598,0.0,388.8157801089513,151177.71086173234,2.32189266273235,4.069523010742494,66.0,66.0,66.0,66.0,66.0,74.0,252.0,326.0,632.0,542,2762,66,387.26752767527677,121.57338191745936,548.7252254802848,301099.37307838944,2.2142498578062915,4.6379576907590065,66.0,66.0,66.0,66.0,148.0,267.0,326.0,417.6000000000003,1414.0,5672.945945945946,1.162162162162162,0.5459191858574095,37,14.64864864864865,1,0.40784313725490196,0.9568627450980393,0.16470588235294117,0.2549019607843137,2
5,"('104.244.43.71', 443)",2762,66,966.2682926829268,216.4599239018179,760.8409347682577,578878.9280190362,0.19008124713715557,-0.7690513003366601,66.0,66.0,74.0,855.0,1414.0,1414.0,1414.0,1414.0,1414.0,34,603,66,117.79411764705883,0.0,129.6261092553967,16802.92820069204,2.9587054446039898,7.874544362902702,66.0,66.0,66.0,66.0,66.0,66.0,66.79999999999998,97.0,234.69999999999996,75,2762,66,581.6266666666667,11.860817748044816,708.8585523846693,502480.447288889,1.0924680503854804,0.1635966947989016,66.0,66.0,66.0,66.0,74.0,253.0,1384.7999999999995,1414.0,1414.0,21811.0,1.5,0.5,2,37.5,1,0.40784313725490196,0.9568627450980393,0.16862745098039217,0.2784313725490196,2
6,"('104.244.42.131', 443)",1414,66,241.07407407407408,68.19970205125769,345.7630237418478,119552.0685871056,2.8466063698404116,6.840338171299781,66.0,66.0,92.39999999999999,108.8,112.0,150.0,156.8,259.40000000000003,416.4000000000001,27,779,54,132.0,17.791226622067224,141.9882624256902,20160.666666666668,3.5242017304094135,13.064671609811505,66.0,66.0,66.0,66.0,66.0,101.19999999999999,112.0,176.00000000000006,238.2000000000001,54,1414,54,186.53703703703704,59.30408874022408,269.8715546990185,72830.6560356653,3.663690638528911,13.32203216382435,66.0,66.0,66.0,74.0,106.0,112.0,150.49999999999997,203.40000000000015,298.4000000000001,2014.6,1.4,0.8000000000000002,5,10.8,1,0.40784313725490196,0.9568627450980393,0.16470588235294117,0.5137254901960784,2
7,"('50.18.54.105', 443)",1639,66,365.7692307692308,0.0,531.0255902635887,281988.1775147928,1.563996427190779,0.800580503878022,66.0,66.0,66.0,66.0,66.0,78.59999999999998,181.3999999999997,579.8000000000006,1283.4000000000003,17,448,66,107.47058823529412,0.0,99.51300101113529,9902.837370242212,2.5272230207146635,5.404442934057238,66.0,66.0,66.0,66.0,66.0,66.0,66.0,72.4,217.20000000000002,30,1639,66,219.4,0.0,379.7229340804511,144189.50666666662,2.835207306182166,6.938533821295712,66.0,66.0,66.0,66.0,66.0,66.0,74.0,204.6000000000002,479.3000000000004,940.2857142857143,1.2857142857142858,0.45175395145262565,7,4.285714285714286,1,0.19607843137254902,0.07058823529411765,0.21176470588235294,0.4117647058823529,3
8,"('212.179.154.216', 443)",2114,60,525.7428571428571,56.33888430321287,708.6390716560518,502169.3338775509,1.2189391839261425,-0.14783012614475677,66.0,66.0,66.0,66.0,104.0,123.6,379.5999999999999,1414.0,1598.8000000000006,30,365,66,128.4,14.82602218505602,93.86394408930406,8810.439999999999,1.4409189981346266,0.5800855564604941,66.0,66.0,66.0,66.0,76.0,109.6,112.0,198.2000000000001,296.80000000000007,65,2114,60,342.3538461538462,26.686839933100835,560.0910758568091,313702.0132544379,2.1574777246239294,3.254854431969056,66.0,66.0,66.0,66.0,78.0,112.0,173.19999999999985,346.80000000000007,1414.0,7417.666666666667,2.3333333333333335,1.247219128924647,3,21.666666666666668,1,0.8313725490196079,0.7019607843137254,0.6039215686274509,0.8470588235294118,4
9,"('104.244.43.167', 443)",1414,66,356.1,0.0,506.04593665002386,256082.49,1.4387943722242658,0.2346020289717874,66.0,66.0,66.0,66.0,66.0,74.0,207.0,584.8000000000008,1414.0,21,583,66,160.61904761904762,11.860817748044816,173.8377667855801,30219.56916099774,1.6663096146641627,1.0097035284550095,66.0,66.0,66.0,66.0,74.0,78.0,97.0,117.0,441.0,41,1414,66,255.97560975609755,11.860817748044816,387.22618888233205,149944.1213563355,2.214446274775196,3.605549664731438,66.0,66.0,66.0,66.0,74.0,78.0,117.0,440.0,583.0,5247.5,1.0,0.0,2,20.5,1,0.40784313725490196,0.9568627450980393,0.16862745098039217,0.6549019607843137,5
