,source,target,weight,id
1255,"('212.179.180.95', 443)","('173.194.116.140', 443)",1,60
1256,"('212.179.180.95', 443)","('74.125.202.94', 443)",1,60
1257,"('173.194.116.140', 443)","('74.125.202.94', 443)",1,60
1258,"('66.102.1.189', 443)","('173.194.116.140', 443)",1,60
1259,"('66.102.1.189', 443)","('216.58.213.133', 443)",3,60
1260,"('66.102.1.189', 443)","('74.125.195.157', 443)",3,60
1261,"('173.194.116.140', 443)","('74.125.195.157', 443)",1,60
1262,"('216.58.213.133', 443)","('74.125.195.157', 443)",1,60
1263,"('66.102.1.189', 443)","('212.179.180.95', 443)",1,60
1264,"('66.102.1.189', 443)","('74.125.202.94', 443)",2,60
1265,"('212.179.180.95', 443)","('212.179.180.123', 443)",1,60
1266,"('216.58.213.133', 443)","('212.179.180.123', 443)",1,60
1267,"('66.102.1.189', 443)","('212.179.180.123', 443)",9,60
1268,"('74.125.202.94', 443)","('212.179.180.123', 443)",1,60
1269,"('212.179.180.123', 443)","('74.125.195.157', 443)",1,60
1270,"('212.179.154.227', 443)","('212.179.180.103', 443)",2,60
1271,"('212.179.154.227', 443)","('216.58.208.104', 443)",1,60
1272,"('212.179.180.103', 443)","('216.58.208.77', 443)",1,60
1273,"('212.179.180.82', 443)","('212.179.180.88', 443)",4,60
1274,"('212.179.154.231', 443)","('212.179.180.82', 443)",1,60
1275,"('104.244.42.72', 443)","('192.229.233.25', 443)",18,61
1276,"('104.244.42.136', 443)","('104.244.42.72', 443)",5,61
1277,"('104.244.42.136', 443)","('192.229.233.25', 443)",5,61
1278,"('104.244.42.200', 443)","('192.229.233.25', 443)",3,61
1279,"('104.244.43.39', 443)","('104.244.43.199', 443)",2,61
1280,"('212.179.180.89', 443)","('212.179.180.77', 443)",6,62
1281,"('212.179.154.204', 443)","('212.179.154.221', 443)",3,62
1282,"('212.179.154.221', 443)","('173.194.135.38', 443)",2,62
1283,"('173.194.139.234', 443)","('173.194.135.38', 443)",1,62
1284,"('212.179.180.95', 443)","('173.194.135.82', 443)",2,62
1285,"('212.179.180.96', 443)","('173.194.135.82', 443)",3,62
1286,"('212.179.180.95', 443)","('212.179.180.96', 443)",1,62
1287,"('212.179.154.205', 443)","('212.179.154.247', 443)",1,62
1288,"('212.179.154.205', 443)","('173.194.139.248', 443)",1,62
1289,"('212.179.154.247', 443)","('173.194.139.248', 443)",2,62
1290,"('173.194.137.175', 443)","('212.179.180.77', 443)",1,62
1291,"('173.194.137.175', 443)","('173.194.16.47', 443)",1,62
1292,"('212.179.180.77', 443)","('173.194.16.47', 443)",2,62
1293,"('212.179.154.231', 443)","('212.179.180.77', 443)",1,62
1294,"('212.179.154.231', 443)","('212.179.180.110', 443)",9,62
1295,"('212.179.154.231', 443)","('173.194.135.21', 443)",2,62
1296,"('212.179.180.110', 443)","('173.194.135.21', 443)",2,62
1297,"('93.184.220.127', 443)","('144.76.137.234', 443)",1,63
1298,"('93.184.220.127', 443)","('212.179.180.109', 443)",7,63
1299,"('93.184.220.127', 443)","('93.184.221.77', 443)",19,63
1300,"('93.184.220.127', 443)","('54.230.79.80', 443)",41,63
1301,"('144.76.137.234', 443)","('212.179.180.109', 443)",1,63
1302,"('144.76.137.234', 443)","('93.184.221.77', 443)",2,63
1303,"('144.76.137.234', 443)","('54.230.79.80', 443)",2,63
1304,"('212.179.180.109', 443)","('93.184.221.77', 443)",3,63
1305,"('212.179.180.109', 443)","('54.230.79.80', 443)",4,63
1306,"('93.184.221.77', 443)","('54.230.79.80', 443)",10,63
1307,"('93.184.220.127', 443)","('91.198.174.192', 443)",7,63
1308,"('54.230.79.80', 443)","('91.198.174.192', 443)",3,63
1309,"('91.198.174.192', 443)","('212.179.180.109', 443)",1,63
1310,"('93.184.221.77', 443)","('91.198.174.208', 443)",3,63
1311,"('93.184.221.77', 443)","('91.198.174.192', 443)",3,63
1312,"('91.198.174.208', 443)","('91.198.174.192', 443)",14,63
1313,"('93.184.220.127', 443)","('91.198.174.208', 443)",6,63
1314,"('91.198.174.208', 443)","('54.230.79.80', 443)",2,63
1315,"('93.184.220.127', 443)","('54.192.78.4', 443)",51,63
1316,"('54.192.78.4', 443)","('212.179.180.109', 443)",7,63
1317,"('144.76.137.234', 443)","('54.192.78.4', 443)",2,63
1318,"('93.184.221.77', 443)","('54.192.78.4', 443)",2,63
1319,"('54.192.78.4', 443)","('54.230.79.80', 443)",21,63
1320,"('31.13.93.52', 443)","('54.192.78.4', 443)",7,63
1321,"('31.13.93.52', 443)","('212.179.180.109', 443)",5,63
1322,"('31.13.93.52', 443)","('93.184.220.127', 443)",28,63
1323,"('31.13.93.52', 443)","('54.230.79.80', 443)",6,63
1324,"('31.13.93.52', 443)","('93.184.221.77', 443)",1,63
1325,"('31.13.93.52', 443)","('91.198.174.208', 443)",2,63
1326,"('31.13.93.52', 443)","('91.198.174.192', 443)",2,63
1327,"('216.58.208.65', 443)","('216.58.213.129', 443)",27,63
1328,"('216.58.208.65', 443)","('54.192.78.4', 443)",4,63
1329,"('216.58.208.65', 443)","('216.58.210.1', 443)",27,63
1330,"('216.58.213.129', 443)","('54.192.78.4', 443)",4,63
1331,"('216.58.213.129', 443)","('216.58.210.1', 443)",26,63
1332,"('54.192.78.4', 443)","('216.58.210.1', 443)",4,63
1333,"('216.58.208.65', 443)","('93.184.220.127', 443)",3,63
1334,"('93.184.220.127', 443)","('216.58.213.129', 443)",3,63
1335,"('93.184.220.127', 443)","('216.58.210.1', 443)",3,63
1336,"('216.58.208.65', 443)","('144.76.137.234', 443)",2,63
1337,"('216.58.213.129', 443)","('144.76.137.234', 443)",2,63
1338,"('216.58.210.1', 443)","('144.76.137.234', 443)",2,63
1339,"('216.58.208.65', 443)","('212.179.180.109', 443)",1,63
1340,"('216.58.213.129', 443)","('212.179.180.109', 443)",1,63
1341,"('216.58.210.1', 443)","('212.179.180.109', 443)",1,63
1342,"('216.58.208.65', 443)","('91.198.174.208', 443)",2,63
1343,"('216.58.208.65', 443)","('91.198.174.192', 443)",2,63
1344,"('216.58.213.129', 443)","('91.198.174.208', 443)",2,63
1345,"('216.58.213.129', 443)","('91.198.174.192', 443)",2,63
1346,"('216.58.210.1', 443)","('91.198.174.208', 443)",2,63
1347,"('216.58.210.1', 443)","('91.198.174.192', 443)",2,63
1348,"('216.58.208.65', 443)","('212.179.154.217', 443)",3,63
1349,"('212.179.154.217', 443)","('216.58.213.129', 443)",3,63
1350,"('212.179.154.217', 443)","('216.58.210.1', 443)",3,63
1351,"('93.184.221.77', 443)","('52.18.55.11', 443)",7,63
1352,"('93.184.220.127', 443)","('52.18.55.11', 443)",7,63
1353,"('52.16.97.240', 443)","('93.184.220.127', 443)",14,63
1354,"('52.16.97.240', 443)","('54.192.78.4', 443)",1,63
1355,"('52.16.97.240', 443)","('93.184.220.96', 443)",14,63
1356,"('93.184.220.127', 443)","('93.184.220.96', 443)",66,63
1357,"('54.192.78.4', 443)","('93.184.220.96', 443)",15,63
1358,"('93.184.220.127', 443)","('192.0.80.240', 443)",2,63
1359,"('93.184.220.127', 443)","('104.25.10.6', 443)",2,63
1360,"('93.184.220.96', 443)","('192.0.80.240', 443)",1,63
1361,"('93.184.220.96', 443)","('104.25.10.6', 443)",1,63
1362,"('192.0.80.240', 443)","('104.25.10.6', 443)",5,63
1363,"('192.0.80.240', 443)","('52.16.97.240', 443)",1,63
1364,"('104.25.10.6', 443)","('52.16.97.240', 443)",1,63
1365,"('192.0.80.240', 443)","('54.192.78.4', 443)",3,63
1366,"('104.25.10.6', 443)","('54.192.78.4', 443)",3,63
1367,"('91.198.174.208', 443)","('93.184.220.96', 443)",3,63
1368,"('93.184.220.96', 443)","('91.198.174.192', 443)",3,63
1369,"('54.192.78.4', 443)","('91.198.174.208', 443)",1,63
1370,"('54.192.78.4', 443)","('91.198.174.192', 443)",1,63
1371,"('93.184.220.127', 443)","('212.179.154.237', 443)",10,63
1372,"('93.184.220.96', 443)","('212.179.154.237', 443)",7,63
1373,"('212.179.154.237', 443)","('91.198.174.208', 443)",3,63
1374,"('212.179.154.237', 443)","('91.198.174.192', 443)",4,63
1375,"('212.179.154.237', 443)","('54.192.78.4', 443)",4,63
1376,"('31.13.93.52', 443)","('192.0.80.240', 443)",1,63
1377,"('31.13.93.52', 443)","('212.179.154.237', 443)",1,63
1378,"('31.13.93.52', 443)","('104.25.10.6', 443)",1,63
1379,"('192.0.80.240', 443)","('212.179.154.237', 443)",1,63
1380,"('192.0.80.240', 443)","('91.198.174.208', 443)",1,63
1381,"('192.0.80.240', 443)","('91.198.174.192', 443)",1,63
1382,"('212.179.154.237', 443)","('104.25.10.6', 443)",1,63
1383,"('104.25.10.6', 443)","('91.198.174.208', 443)",1,63
1384,"('104.25.10.6', 443)","('91.198.174.192', 443)",1,63
1385,"('31.13.93.52', 443)","('52.17.178.231', 443)",4,63
1386,"('93.184.220.127', 443)","('52.17.178.231', 443)",20,63
1387,"('93.184.220.127', 443)","('54.230.79.81', 443)",13,63
1388,"('93.184.220.127', 443)","('54.230.79.21', 443)",54,63
1389,"('93.184.220.127', 443)","('54.230.79.17', 443)",27,63
1390,"('93.184.220.127', 443)","('54.230.79.247', 443)",17,63
1391,"('93.184.220.127', 443)","('104.84.199.80', 443)",8,63
1392,"('93.184.220.127', 443)","('54.230.79.15', 443)",16,63
1393,"('93.184.220.96', 443)","('52.17.178.231', 443)",14,63
1394,"('93.184.220.96', 443)","('54.230.79.81', 443)",13,63
1395,"('93.184.220.96', 443)","('54.230.79.21', 443)",35,63
1396,"('93.184.220.96', 443)","('54.230.79.17', 443)",16,63
1397,"('93.184.220.96', 443)","('54.230.79.247', 443)",14,63
1398,"('93.184.220.96', 443)","('104.84.199.80', 443)",8,63
1399,"('93.184.220.96', 443)","('54.230.79.15', 443)",15,63
1400,"('52.17.178.231', 443)","('54.230.79.81', 443)",4,63
1401,"('52.17.178.231', 443)","('54.230.79.21', 443)",14,63
1402,"('52.17.178.231', 443)","('54.230.79.17', 443)",6,63
1403,"('52.17.178.231', 443)","('54.230.79.247', 443)",11,63
1404,"('52.17.178.231', 443)","('104.84.199.80', 443)",4,63
1405,"('52.17.178.231', 443)","('54.230.79.15', 443)",7,63
1406,"('54.230.79.81', 443)","('54.230.79.21', 443)",12,63
1407,"('54.230.79.81', 443)","('54.230.79.17', 443)",12,63
1408,"('54.230.79.81', 443)","('54.230.79.247', 443)",13,63
1409,"('54.230.79.81', 443)","('104.84.199.80', 443)",7,63
1410,"('54.230.79.81', 443)","('54.230.79.15', 443)",13,63
1411,"('54.230.79.21', 443)","('54.230.79.17', 443)",33,63
1412,"('54.230.79.21', 443)","('54.230.79.247', 443)",17,63
1413,"('54.230.79.21', 443)","('104.84.199.80', 443)",8,63
1414,"('54.230.79.21', 443)","('54.230.79.15', 443)",17,63
1415,"('54.230.79.17', 443)","('54.230.79.247', 443)",17,63
1416,"('54.230.79.17', 443)","('104.84.199.80', 443)",8,63
1417,"('54.230.79.17', 443)","('54.230.79.15', 443)",19,63
1418,"('54.230.79.247', 443)","('104.84.199.80', 443)",8,63
1419,"('54.230.79.247', 443)","('54.230.79.15', 443)",27,63
1420,"('104.84.199.80', 443)","('54.230.79.15', 443)",8,63
1421,"('31.13.93.52', 443)","('54.230.79.21', 443)",7,63
1422,"('31.13.93.52', 443)","('54.230.79.17', 443)",9,63
1423,"('31.13.93.52', 443)","('54.230.79.247', 443)",5,63
1424,"('31.13.93.52', 443)","('54.230.79.15', 443)",3,63
1425,"('31.13.93.52', 443)","('93.184.220.96', 443)",1,63
1426,"('31.13.93.52', 443)","('54.230.79.81', 443)",1,63
1427,"('54.230.79.15', 443)","('91.198.174.208', 443)",1,63
1428,"('54.230.79.15', 443)","('91.198.174.192', 443)",2,63
1429,"('54.230.79.247', 443)","('91.198.174.208', 443)",1,63
1430,"('54.230.79.247', 443)","('91.198.174.192', 443)",2,63
1431,"('212.179.154.237', 443)","('52.17.178.231', 443)",7,63
1432,"('212.179.154.237', 443)","('54.230.79.247', 443)",9,63
1433,"('212.179.154.237', 443)","('54.230.79.15', 443)",10,63
1434,"('212.179.154.237', 443)","('54.230.79.21', 443)",5,63
1435,"('212.179.154.237', 443)","('54.230.79.81', 443)",5,63
1436,"('212.179.154.237', 443)","('54.230.79.17', 443)",6,63
1437,"('212.179.154.237', 443)","('104.84.199.80', 443)",1,63
1438,"('52.29.57.5', 443)","('212.179.154.237', 443)",2,63
1439,"('52.29.57.5', 443)","('54.230.79.247', 443)",5,63
1440,"('52.29.57.5', 443)","('54.230.79.15', 443)",4,63
1441,"('93.184.220.127', 443)","('52.29.57.5', 443)",3,63
1442,"('93.184.220.96', 443)","('52.29.57.5', 443)",1,63
1443,"('52.29.57.5', 443)","('54.230.79.21', 443)",2,63
1444,"('52.29.57.5', 443)","('54.230.79.81', 443)",1,63
1445,"('52.29.57.5', 443)","('54.230.79.17', 443)",2,63
1446,"('52.17.178.231', 443)","('91.198.174.208', 443)",1,63
1447,"('93.184.220.127', 443)","('54.77.136.139', 443)",37,63
1448,"('93.184.220.96', 443)","('54.77.136.139', 443)",16,63
1449,"('212.179.154.237', 443)","('54.77.136.139', 443)",2,63
1450,"('52.17.178.231', 443)","('54.77.136.139', 443)",13,63
1451,"('52.17.178.231', 443)","('91.198.174.192', 443)",1,63
1452,"('54.230.79.81', 443)","('54.77.136.139', 443)",1,63
1453,"('54.230.79.81', 443)","('91.198.174.192', 443)",1,63
1454,"('54.230.79.247', 443)","('54.77.136.139', 443)",3,63
1455,"('54.77.136.139', 443)","('54.230.79.15', 443)",2,63
1456,"('54.77.136.139', 443)","('91.198.174.192', 443)",1,63
1457,"('52.29.57.5', 443)","('52.17.178.231', 443)",2,63
1458,"('52.29.57.5', 443)","('54.77.136.139', 443)",2,63
1459,"('52.29.57.5', 443)","('54.192.78.4', 443)",1,63
1460,"('52.17.178.231', 443)","('54.192.78.4', 443)",11,63
1461,"('54.230.79.21', 443)","('54.77.136.139', 443)",18,63
1462,"('54.230.79.21', 443)","('54.192.78.4', 443)",20,63
1463,"('54.230.79.17', 443)","('54.77.136.139', 443)",1,63
1464,"('54.230.79.17', 443)","('54.192.78.4', 443)",13,63
1465,"('54.230.79.247', 443)","('54.192.78.4', 443)",1,63
1466,"('54.77.136.139', 443)","('54.192.78.4', 443)",21,63
1467,"('54.192.78.4', 443)","('54.230.79.15', 443)",2,63
1468,"('54.77.136.139', 443)","('54.230.79.80', 443)",31,63
1469,"('54.230.79.80', 443)","('93.184.220.96', 443)",15,63
1470,"('54.230.79.60', 443)","('93.184.220.127', 443)",48,63
1471,"('54.230.79.60', 443)","('54.230.79.106', 443)",15,63
1472,"('54.230.79.60', 443)","('54.230.79.34', 443)",27,63
1473,"('54.230.79.60', 443)","('54.230.79.21', 443)",44,63
1474,"('54.230.79.60', 443)","('23.5.108.34', 443)",14,63
1475,"('54.230.79.60', 443)","('54.77.136.139', 443)",27,63
1476,"('54.230.79.60', 443)","('54.192.78.4', 443)",16,63
1477,"('54.230.79.60', 443)","('54.230.79.80', 443)",30,63
1478,"('93.184.220.127', 443)","('54.230.79.106', 443)",16,63
1479,"('93.184.220.127', 443)","('54.230.79.34', 443)",29,63
1480,"('93.184.220.127', 443)","('23.5.108.34', 443)",15,63
1481,"('54.230.79.106', 443)","('54.230.79.34', 443)",16,63
1482,"('54.230.79.106', 443)","('54.230.79.21', 443)",15,63
1483,"('54.230.79.106', 443)","('23.5.108.34', 443)",5,63
1484,"('54.230.79.106', 443)","('54.77.136.139', 443)",15,63
1485,"('54.230.79.106', 443)","('54.192.78.4', 443)",13,63
1486,"('54.230.79.106', 443)","('54.230.79.80', 443)",15,63
1487,"('54.230.79.34', 443)","('54.230.79.21', 443)",23,63
1488,"('54.230.79.34', 443)","('23.5.108.34', 443)",5,63
1489,"('54.230.79.34', 443)","('54.77.136.139', 443)",19,63
1490,"('54.230.79.34', 443)","('54.192.78.4', 443)",16,63
1491,"('54.230.79.34', 443)","('54.230.79.80', 443)",20,63
1492,"('54.230.79.21', 443)","('23.5.108.34', 443)",4,63
1493,"('54.230.79.21', 443)","('54.230.79.80', 443)",19,63
1494,"('23.5.108.34', 443)","('54.77.136.139', 443)",14,63
1495,"('23.5.108.34', 443)","('54.192.78.4', 443)",3,63
1496,"('23.5.108.34', 443)","('54.230.79.80', 443)",14,63
1497,"('54.230.79.60', 443)","('52.17.178.231', 443)",8,63
1498,"('54.230.79.106', 443)","('52.17.178.231', 443)",8,63
1499,"('52.17.178.231', 443)","('54.230.79.34', 443)",8,63
1500,"('52.17.178.231', 443)","('23.5.108.34', 443)",2,63
1501,"('52.17.178.231', 443)","('54.230.79.80', 443)",8,63
1502,"('54.230.79.60', 443)","('93.184.220.96', 443)",22,63
1503,"('93.184.220.96', 443)","('54.230.79.106', 443)",13,63
1504,"('93.184.220.96', 443)","('54.230.79.34', 443)",14,63
1505,"('93.184.220.96', 443)","('23.5.108.34', 443)",2,63
1506,"('216.58.210.65', 443)","('93.184.220.127', 443)",2,63
1507,"('216.58.210.65', 443)","('31.13.93.52', 443)",1,63
1508,"('93.184.220.127', 443)","('52.18.48.37', 443)",37,63
1509,"('54.192.78.4', 443)","('52.18.48.37', 443)",13,63
1510,"('54.230.79.17', 443)","('54.230.79.80', 443)",7,63
1511,"('54.230.79.17', 443)","('52.18.48.37', 443)",8,63
1512,"('54.230.79.80', 443)","('52.18.48.37', 443)",2,63
1513,"('31.13.93.52', 443)","('52.18.48.37', 443)",7,63
1514,"('93.184.220.127', 443)","('52.19.170.37', 443)",20,63
1515,"('52.19.170.37', 443)","('54.230.79.21', 443)",7,63
1516,"('52.19.170.37', 443)","('54.192.78.4', 443)",9,63
1517,"('52.19.170.37', 443)","('52.18.48.37', 443)",18,63
1518,"('54.230.79.21', 443)","('52.18.48.37', 443)",8,63
1519,"('54.230.79.60', 443)","('52.19.170.37', 443)",12,63
1520,"('52.19.170.37', 443)","('54.230.79.34', 443)",10,63
1521,"('52.18.48.37', 443)","('54.230.79.34', 443)",12,63
1522,"('54.230.79.60', 443)","('52.18.48.37', 443)",12,63
1523,"('54.230.79.60', 443)","('172.229.196.188', 443)",3,63
1524,"('93.184.220.127', 443)","('172.229.196.188', 443)",11,63
1525,"('52.19.170.37', 443)","('172.229.196.188', 443)",3,63
1526,"('172.229.196.188', 443)","('52.18.48.37', 443)",2,63
1527,"('54.192.78.4', 443)","('172.229.196.188', 443)",6,63
1528,"('93.184.220.127', 443)","('216.58.213.161', 443)",6,63
1529,"('52.19.170.37', 443)","('216.58.213.161', 443)",5,63
1530,"('54.230.79.34', 443)","('216.58.213.161', 443)",6,63
1531,"('54.230.79.21', 443)","('216.58.213.161', 443)",3,63
1532,"('216.58.213.161', 443)","('52.18.48.37', 443)",4,63
1533,"('54.192.78.4', 443)","('216.58.213.161', 443)",2,63
1534,"('54.230.79.21', 443)","('172.229.196.188', 443)",1,63
1535,"('216.58.213.161', 443)","('172.229.196.188', 443)",2,63
1536,"('54.230.79.60', 443)","('216.58.213.161', 443)",4,63
1537,"('54.230.79.34', 443)","('172.229.196.188', 443)",2,63
1538,"('54.230.79.60', 443)","('31.13.93.52', 443)",6,63
1539,"('31.13.93.52', 443)","('216.58.213.161', 443)",1,63
1540,"('54.230.79.60', 443)","('54.230.79.112', 443)",10,63
1541,"('54.230.79.60', 443)","('54.230.79.17', 443)",16,63
1542,"('54.230.79.60', 443)","('52.16.97.240', 443)",7,63
1543,"('54.230.79.112', 443)","('93.184.220.127', 443)",10,63
1544,"('54.230.79.112', 443)","('93.184.220.96', 443)",10,63
1545,"('54.230.79.112', 443)","('54.230.79.21', 443)",10,63
1546,"('54.230.79.112', 443)","('54.230.79.17', 443)",2,63
1547,"('54.230.79.112', 443)","('52.16.97.240', 443)",7,63
1548,"('54.230.79.21', 443)","('52.16.97.240', 443)",7,63
1549,"('54.230.79.17', 443)","('52.16.97.240', 443)",2,63
