,model,subclass,class,precision,recall,f1,support
75,CGNN,BOA,teamviewer_firefox_Windows,0.214285714,0.428571429,0.285714286,7.0
76,CGNN,BOA,teamviewer_IExplorer_Windows,0.363636364,0.363636364,0.363636364,11.0
77,CGNN,BOA,twitter_chrome_Linux,1.0,0.964285714,0.981818182,84.0
78,CGNN,BOA,twitter_chrome_Windows,0.996453901,0.996453901,0.996453901,282.0
79,CGNN,BOA,twitter_chrome_OSX,1.0,1.0,1.0,12.0
80,CGNN,BOA,twitter_firefox_Linux,0.980952381,0.990384615,0.985645933,104.0
81,CGNN,BOA,twitter_firefox_Windows,0.995412844,0.99086758,0.993135011,219.0
82,CGNN,BOA,twitter_IExplorer_Windows,0.997718631,1.0,0.998858013,1312.0
83,CGNN,BOA,twitter_Safari_OSX,1.0,0.979591837,0.989690722,49.0
84,CGNN,BOA,youtube_chrome_Linux,1.0,0.916666667,0.956521739,36.0
85,CGNN,BOA,youtube_firefox_Linux,0.977777778,0.977777778,0.977777778,45.0
86,CGNN,BOA,youtube_Safari_OSX,0.914110429,0.986754967,0.949044586,151.0
87,CGNN,BOA,other_chrome_Linux,0.924657534,0.924657534,0.924657534,146.0
88,CGNN,BOA,other_chrome_Windows,1.0,0.833333333,0.909090909,30.0
89,CGNN,BOA,other_chrome_OSX,1.0,1.0,1.0,1.0
90,CGNN,BOA,other_firefox_Linux,0.934210526,0.934210526,0.934210526,76.0
91,CGNN,BOA,other_firefox_Windows,0.647058824,0.916666667,0.75862069,12.0
92,CGNN,BOA,other_IExplorer_Windows,1.0,0.875,0.933333333,8.0
93,CGNN,BOA,other_Safari_OSX,0.962962963,0.975,0.968944099,80.0
94,ODE-FLOW,BOA,dropbox_chrome_Windows,0.22,1.0,0.36,2.0
95,ODE-FLOW,BOA,facebook_chrome_Linux,0.0,0.0,0.0,0.0
96,ODE-FLOW,BOA,facebook_firefox_Linux,0.0,0.0,0.0,1.0
97,ODE-FLOW,BOA,google_chrome_Linux,0.11,0.04,0.06,249.0
98,ODE-FLOW,BOA,google_chrome_Windows,0.37,0.39,0.38,115.0
99,ODE-FLOW,BOA,google_chrome_OSX,0.0,0.0,0.0,4.0
100,ODE-FLOW,BOA,google_firefox_Linux,0.63,0.49,0.56,757.0
101,ODE-FLOW,BOA,google_firefox_Windows,0.46,0.42,0.44,74.0
102,ODE-FLOW,BOA,google_IExplorer_Windows,0.0,0.0,0.0,0.0
103,ODE-FLOW,BOA,google_Safari_OSX,0.54,0.73,0.62,190.0
104,ODE-FLOW,BOA,microsoft_chrome_Windows,0.41,0.57,0.48,21.0
105,ODE-FLOW,BOA,microsoft_firefox_Windows,0.0,0.0,0.0,0.0
106,ODE-FLOW,BOA,microsoft_IExplorer_Windows,0.0,0.0,0.0,0.0
107,ODE-FLOW,BOA,twitter_chrome_Linux,0.07,0.22,0.11,36.0
108,ODE-FLOW,BOA,twitter_chrome_Windows,0.35,0.8,0.48,218.0
109,ODE-FLOW,BOA,twitter_chrome_OSX,0.0,0.0,0.0,0.0
110,ODE-FLOW,BOA,twitter_firefox_Linux,0.07,0.46,0.13,26.0
111,ODE-FLOW,BOA,twitter_firefox_Windows,0.51,0.84,0.63,180.0
112,ODE-FLOW,BOA,twitter_IExplorer_Windows,0.84,0.96,0.9,1739.0
113,ODE-FLOW,BOA,twitter_Safari_OSX,0.05,0.5,0.1,6.0
114,ODE-FLOW,BOA,youtube_chrome_Linux,0.2,0.06,0.1,110.0
115,ODE-FLOW,BOA,youtube_firefox_Linux,0.83,0.34,0.48,146.0
116,ODE-FLOW,BOA,youtube_Safari_OSX,0.81,0.29,0.42,659.0
117,ODE-FLOW,BOA,other_chrome_Linux,0.3,0.11,0.16,280.0
118,ODE-FLOW,BOA,other_chrome_Windows,0.5,0.25,0.33,32.0
119,ODE-FLOW,BOA,other_firefox_Linux,0.22,0.3,0.25,92.0
120,ODE-FLOW,BOA,other_firefox_Windows,0.07,0.09,0.08,11.0
121,ODE-FLOW,BOA,other_IExplorer_Windows,0.0,0.0,0.0,0.0
122,ODE-FLOW,BOA,other_Safari_OSX,0.58,0.53,0.55,171.0
123,ODE-FLOW,APPS,dropbox,0.0,0.0,0.0,0.0
124,ODE-FLOW,APPS,facebook,0.0,0.0,0.0,0.0
125,ODE-FLOW,APPS,google,0.89,0.64,0.74,1580.0
126,ODE-FLOW,APPS,microsoft,0.13,0.7,0.22,10.0
127,ODE-FLOW,APPS,twitter,0.85,0.94,0.89,2819.0
128,ODE-FLOW,APPS,youtube,0.86,0.77,0.81,370.0
129,ODE-FLOW,APPS,other,0.35,0.48,0.4,300.0
